x,y,WeightedProbabiliticGoals,GoalProbability
20,50,0.00463483206683233,0.025
20,52,0.00901635701121528,0.041
20,54,0.0138742508771592,0.051
20,56,0.0161476400537285,0.056
20,58,0.0153793998729855,0.057
20,60,0.0131850046210899,0.05
20,62,0.0101861883247309,0.035
20,64,0.00645178257425569,0.021
20,66,0.0030670253471012,0.012
20,68,0.00104567014354085,0.006
20,70,0.000250369715801143,0.002
20,72,0.0000421391208814139,0.001
20,74,0,0
20,76,0,0
20,78,0,0
20,80,0,0
22,0,0.0000776491248432461,0
22,2,0.000163250479729355,0.001
22,4,0.000239283742075733,0.001
22,6,0.000244519073961554,0.001
22,8,0.000174201992338734,0.001
22,10,0.0000865235475958426,0
22,12,0.0000299610026384988,0
22,14,0,0
22,16,0,0
22,18,0,0
22,20,0,0
22,22,0,0
22,24,0,0
22,26,0,0
22,28,0,0
22,30,0.0000535377322029661,0
22,32,0.000309046309914415,0.001
22,34,0.00124373535099238,0.002
22,36,0.0034895804854543,0.006
22,38,0.00682589000157218,0.01
22,40,0.00930863873994604,0.013
22,42,0.0088576385634257,0.012
22,44,0.00593328672345159,0.009
22,46,0.00313269404534396,0.006
22,48,0.00272440975476765,0.007
22,50,0.00587056613175449,0.017
22,52,0.0121798416357073,0.029
22,54,0.0182645267808212,0.038
22,56,0.0195330711598588,0.041
22,58,0.0153746974166457,0.04
22,60,0.00958917129918815,0.032
22,62,0.00525085651341152,0.021
22,64,0.00262691420289236,0.011
22,66,0.00111454038454433,0.005
22,68,0.000363294849050155,0.002
22,70,0.0000848407054139069,0.001
22,72,0.0000142793337830866,0
22,74,0,0
22,76,0,0
22,78,0,0
22,80,0,0
24,0,0.000461352513117704,0.004
24,2,0.000969953225395039,0.005
24,4,0.00142170508653775,0.006
24,6,0.00145281082697468,0.005
24,8,0.00103502167111129,0.003
24,10,0.00051407992308716,0.001
24,12,0.000178013388955791,0
24,14,0.000042974963650318,0
24,16,0,0
24,18,0,0
24,20,0,0
24,22,0,0
24,24,0,0
24,26,0,0
24,28,0,0
24,30,0,0
24,32,0.0000831350504630437,0
24,34,0.000334571220721118,0.001
24,36,0.000938821216866607,0.002
24,38,0.00183640119138539,0.004
24,40,0.00250433890507329,0.004
24,42,0.00238815973420556,0.004
24,44,0.00169356196446884,0.003
24,46,0.00119861142962407,0.002
24,48,0.00207411476338439,0.004
24,50,0.00554745869645274,0.011
24,52,0.0116678333225878,0.019
24,54,0.0173974547499985,0.025
24,56,0.0181776722131348,0.028
24,58,0.0134353340234617,0.026
24,60,0.00720523250341622,0.02
24,62,0.00297589555899615,0.012
24,64,0.00104563657053833,0.006
24,66,0.000335882185352591,0.002
24,68,0.000094466669756656,0.001
24,70,0.0000200432235392518,0
24,72,0,0
